"birthPlace","highSchool","name","position","Posiciones","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo","PosicionesCenter","PosicionesForward","PosicionesGuard","PosicionesPoint","PosicionesPower","PosicionesShooting","PosicionesSmall"
202,105,7,"Shooting Guard",6,2,1993,8,1,182.88,182.88,90,0,0,0,0,0,1,0
185,67,36,"Center",1,2,1997,7,18,182.88,304.8,114.75,1,0,0,0,0,0,0
236,105,13,"Power Forward and Center",5,2,1988,5,6,213.36,60.96,111.6,0,0,0,0,1,0,0
131,105,123,"Power Forward",5,2,1991,8,9,182.88,304.8,108,0,0,0,0,1,0,0
45,105,86,"Power Forward and Center",5,2,1980,6,23,182.88,335.28,110.25,0,0,0,0,1,0,0
124,105,248,"Center",1,2,1986,3,12,213.36,60.96,108,1,0,0,0,0,0,0
164,23,60,"Center",1,2,1975,1,1,213.36,0,112.05,1,0,0,0,0,0,0
7,105,132,"Point Guard and Power Forward and Small Forward and Shooting Guard",4,2,1994,12,6,182.88,335.28,108.9,0,0,0,1,0,0,0
7,105,365,"Small Forward",7,2,1992,7,17,182.88,213.36,92.25,0,0,0,0,0,0,1
261,105,303,"Center",1,2,1982,7,29,182.88,335.28,117,1,0,0,0,0,0,0
39,105,290,"Center",1,2,1986,7,4,213.36,0,114.75,1,0,0,0,0,0,0
276,105,139,"Center and Power Forward",1,2,1985,4,1,182.88,304.8,112.5,1,0,0,0,0,0,0
146,166,201,"Shooting Guard and Small Forward",6,2,1983,12,16,182.88,152.4,99,0,0,0,0,0,1,0
177,105,72,"Center",1,2,1980,2,7,213.36,30.48,114.75,1,0,0,0,0,0,0
41,105,286,"Guard",3,2,1923,2,17,182.88,0,81,0,0,1,0,0,0,0
252,105,222,"Point Guard and Shooting Guard",4,2,1982,11,28,182.88,91.44,87.3,0,0,0,1,0,0,0
232,105,18,"Power Forward and Center",5,2,1985,10,26,213.36,0,110.25,0,0,0,0,1,0,0
302,178,63,"Shooting Guard",6,2,1921,1,15,182.88,60.96,83.25,0,0,0,0,0,1,0
17,105,252,"Center",1,2,1975,11,20,182.88,335.28,130.5,1,0,0,0,0,0,0
171,105,117,"Power Forward",5,1,1983,9,2,182.88,304.8,121.5,0,0,0,0,1,0,0
142,105,279,"Small Forward and Shooting Guard",7,2,1988,12,14,182.88,243.84,90,0,0,0,0,0,0,1
174,105,344,"Point Guard",4,2,1965,3,16,182.88,60.96,75.6,0,0,0,1,0,0,0
100,90,310,"Guard",3,2,1927,12,2,152.4,304.8,78.75,0,0,1,0,0,0,0
216,105,328,"Point Guard",4,2,1988,2,24,182.88,0,76.5,0,0,0,1,0,0,0
243,105,238,"Shooting Guard and Small Forward",6,2,1986,3,25,182.88,152.4,94.5,0,0,0,0,0,1,0
43,105,101,"Power Forward",5,2,1997,11,17,213.36,30.48,101.25,0,0,0,0,1,0,0
210,112,189,"Small Forward",7,2,1981,1,30,182.88,335.28,90.9,0,0,0,0,0,0,1
150,90,403,"Small Forward",7,2,1965,2,9,182.88,213.36,94.5,0,0,0,0,0,0,1
288,105,70,"Shooting Guard",6,2,1989,9,9,182.88,121.92,90,0,0,0,0,0,1,0
288,105,87,"Power Forward",5,2,1992,11,12,182.88,304.8,101.25,0,0,0,0,1,0,0
228,165,25,"Center",1,1,1986,4,2,182.88,335.28,108,1,0,0,0,0,0,0
