"birthPlace","dia","mes","anio","Altura_CM"
202,1,8,1993,182.88
185,18,7,1997,182.88
236,6,5,1988,213.36
131,9,8,1991,182.88
45,23,6,1980,182.88
124,12,3,1986,213.36
164,1,1,1975,213.36
7,6,12,1994,182.88
7,17,7,1992,182.88
261,29,7,1982,182.88
39,4,7,1986,213.36
276,1,4,1985,182.88
146,16,12,1983,182.88
177,7,2,1980,213.36
41,17,2,1923,182.88
252,28,11,1982,182.88
232,26,10,1985,213.36
302,15,1,1921,182.88
17,20,11,1975,182.88
171,2,9,1983,182.88
142,14,12,1988,182.88
174,16,3,1965,182.88
100,2,12,1927,152.4
216,24,2,1988,182.88
243,25,3,1986,182.88
43,17,11,1997,213.36
210,30,1,1981,182.88
150,9,2,1965,182.88
288,9,9,1989,182.88
288,12,11,1992,182.88
228,2,4,1986,182.88
63,2,2,1935,182.88
151,28,8,1992,182.88
19,9,5,1988,182.88
272,22,8,1986,182.88
25,9,12,1989,182.88
4,12,5,1980,182.88
19,18,8,1992,182.88
175,18,4,1989,182.88
181,8,11,1999,182.88
94,30,10,1996,182.88
247,20,9,1972,182.88
138,17,3,1961,213.36
55,16,6,1941,152.4
1,27,9,1968,182.88
220,2,10,1979,213.36
185,13,4,1996,182.88
52,10,3,1982,182.88
208,27,6,1929,182.88
167,1,1,1930,182.88
248,2,3,1993,182.88
208,23,8,1978,182.88
156,29,6,1934,182.88
163,10,3,1985,182.88
212,27,10,1987,213.36
305,21,5,1981,182.88
197,21,9,1995,182.88
293,28,9,1981,182.88
92,18,5,1994,182.88
109,22,6,1988,182.88
266,18,8,1993,213.36
38,12,2,1917,152.4
97,2,10,1982,213.36
30,5,10,1967,182.88
286,30,8,1988,182.88
159,18,9,1917,182.88
55,22,1,1944,182.88
137,20,3,1953,182.88
169,13,8,1990,182.88
180,1,11,1936,182.88
70,17,6,1986,182.88
110,27,4,1992,182.88
40,26,9,1965,182.88
102,5,12,1982,213.36
19,22,6,1970,213.36
114,20,11,1944,182.88
57,1,4,1982,182.88
253,26,2,1970,182.88
170,27,11,1987,182.88
112,22,10,1971,182.88
55,11,3,1993,182.88
196,11,1,1957,182.88
239,23,6,1987,182.88
248,29,8,1982,182.88
66,28,1,1974,182.88
225,31,7,1998,182.88
64,16,4,1982,182.88
67,30,1,1982,213.36
223,3,2,1968,213.36
19,26,8,1967,182.88
144,28,2,1999,182.88
144,6,5,1986,182.88
144,22,6,1989,182.88
24,27,10,1975,182.88
55,30,5,1943,152.4
146,18,6,1984,182.88
118,26,10,1985,182.88
115,28,7,1986,213.36
47,1,3,1969,182.88
164,13,7,1995,182.88
127,22,6,1989,182.88
219,5,5,1988,182.88
55,2,7,1929,182.88
221,7,7,1992,182.88
283,17,5,1998,182.88
202,4,4,1985,182.88
71,24,12,1986,213.36
60,12,8,1982,182.88
46,31,7,1953,182.88
7,1,4,1981,182.88
237,29,10,1992,182.88
182,20,12,1997,182.88
87,7,2,1987,182.88
55,6,7,1918,182.88
246,8,8,1988,182.88
153,19,12,1977,182.88
195,4,3,1980,182.88
161,19,5,1976,182.88
12,29,1,1985,213.36
12,6,7,1980,213.36
215,22,5,1983,182.88
278,12,7,1998,182.88
9,28,7,1977,182.88
303,20,6,1977,182.88
140,21,9,1956,182.88
280,10,1,1960,182.88
98,21,8,1981,213.36
238,26,6,1992,213.36
143,17,8,1994,182.88
35,22,12,1920,182.88
145,17,2,1984,182.88
184,28,11,1920,152.4
55,15,1,1930,182.88
111,26,1,1986,182.88
96,12,5,1953,182.88
160,7,10,1926,182.88
103,28,10,1968,182.88
2,19,5,1985,213.36
200,9,12,1931,182.88
54,6,10,1968,182.88
55,4,5,1942,213.36
268,12,2,1989,182.88
194,17,2,1980,182.88
241,28,10,1994,182.88
241,28,10,1994,182.88
83,5,5,1998,213.36
201,13,1,1936,182.88
244,11,6,1983,182.88
164,6,9,1970,182.88
153,28,9,1995,182.88
153,27,5,1994,182.88
289,26,6,1979,182.88
76,25,2,1995,182.88
108,30,1,1902,152.4
250,13,9,1982,182.88
55,26,9,1925,182.88
8,8,12,1985,182.88
252,25,5,1983,182.88
271,5,1,1998,213.36
33,18,9,1989,182.88
124,5,6,1975,213.36
