"highSchool","name","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Bloomfield in Bloomfield, New Jersey","Alaa Abdelnaby","Right","1968","06","24",182.88,304.8,108
"John Jay in Brooklyn, New York","Zaid Abdul-Aziz","Right","1946","04","07",182.88,274.32,105.75
"Power Memorial in New York, New York","Kareem Abdul-Jabbar","Right","1947","04","16",213.36,60.96,101.25
"Gulfport in Gulfport, Mississippi","Mahmoud Abdul-Rauf","Right","1969","03","09",182.88,30.48,72.9
"Lycee Aristide Briand in Evreux, France","Tariq Abdul-Wahad","Right","1974","11","03",182.88,182.88,100.35
"Wheeler in Marietta, Georgia","Shareef Abdur-Rahim","Right","1976","12","11",182.88,274.32,101.25
"Saint Joseph in South Bend, Indiana","Tom Abernethy","Right","1954","05","06",182.88,213.36,99
"Fairdale in Louisville, Kentucky","DESCONOCIDO","Right","1932","07","27",182.88,91.44,81
"Etna in Etna, Pennsylvania","John Abramovic","Right","1919","02","09",182.88,91.44,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Alex Abrines","Right","1993","08","01",182.88,182.88,90
"Eisenhower in Rialto, California","Alex Acker","Right","1983","01","21",182.88,152.4,83.25
"Metropolitan in New York, New York","Don Ackerman","Right","1930","09","04",182.88,0,82.35
"Palos Verdes in Palos Verdes Estates, California","Mark Acres","Right","1962","11","15",182.88,335.28,99
"Troy in Troy, Michigan","Bud Acton","Right","1942","01","11",182.88,182.88,94.5
"Mesquite Horn in Mesquite, Texas","Quincy Acy","Right","1990","10","06",182.88,213.36,108
"Putnam City in Warr Acres, Oklahoma","Alvan Adams","Right","1954","07","19",182.88,274.32,94.5
"South Fulton in South Fulton, Georgia","Don Adams","Right","1947","11","27",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","George Adams","Right","1949","05","15",183.78,182.88,94.5
"Westchester in Los Angeles, California","Hassan Adams","Right","1984","06","20",182.88,121.92,99
"Mount St. Joseph in Baltimore, Maryland","Jaylen Adams","Right","1996","05","04",182.88,60.96,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Jordan Adams","Right","1994","07","08",182.88,152.4,94.05
"Hartford Public in Hartford, Connecticut","Michael Adams","Right","1963","01","19",152.4,304.8,72.9
"Notre Dame Preparatory School in Fitchburg, Massachusetts","Steven Adams","Right","1993","07","20",213.36,0,119.25
"Snyder in Jersey City, New Jersey","Rafael Addison","Right","1964","07","22",182.88,213.36,96.75
"High Point Christian Academy in High Point, North Carolina","Bam Adebayo","Right","1997","07","18",182.88,304.8,114.75
"Victoria Rock Prep HS in Bradenton, Florida","Deng Adel","Right","1997","02","01",182.88,213.36,90
