"highSchool","name","position","Posiciones","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Oak Hill Academy in Mouth of Wilson, Virginia","Alex Abrines","Shooting Guard","Shooting","Right","1993","08","01",182.88,182.88,90
"High Point Christian Academy in High Point, North Carolina","Bam Adebayo","Center","Center","Right","1997","07","18",182.88,304.8,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Alexis Ajinca","Power Forward and Center","Power","Right","1988","05","06",213.36,60.96,111.6
"Oak Hill Academy in Mouth of Wilson, Virginia","Furkan Aldemir","Power Forward","Power","Right","1991","08","09",182.88,304.8,108
"Oak Hill Academy in Mouth of Wilson, Virginia","David Andersen","Power Forward and Center","Power","Right","1980","06","23",182.88,335.28,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Martynas Andriuskevicius","Center","Center","Right","1986","03","12",213.36,60.96,108
"Catholic Regional College in Melbourne, Australia","Chris Anstey","Center","Center","Right","1975","01","01",213.36,0,112.05
"Oak Hill Academy in Mouth of Wilson, Virginia","Giannis Antetokounmpo","Point Guard and Power Forward and Small Forward and Shooting Guard","Point","Right","1994","12","06",182.88,335.28,108.9
"Oak Hill Academy in Mouth of Wilson, Virginia","Thanasis Antetokounmpo","Small Forward","Small","Right","1992","07","17",182.88,213.36,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Pero Antic","Center","Center","Right","1982","07","29",182.88,335.28,117
"Oak Hill Academy in Mouth of Wilson, Virginia","Omer Asik","Center","Center","Right","1986","07","04",213.36,0,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Gustavo Ayon","Center and Power Forward","Center","Right","1985","04","01",182.88,304.8,112.5
"Victory Christian in Tulsa, Oklahoma","Kelenna Azubuike","Shooting Guard and Small Forward","Shooting","Right","1983","12","16",182.88,152.4,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Dalibor Bagaric","Center","Center","Right","1980","02","07",213.36,30.48,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Norm Baker","Guard","Guard","Right","1923","02","17",182.88,0,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Leandro Barbosa","Point Guard and Shooting Guard","Point","Right","1982","11","28",182.88,91.44,87.3
"Oak Hill Academy in Mouth of Wilson, Virginia","Andrea Bargnani","Power Forward and Center","Power","Right","1985","10","26",213.36,0,110.25
"Yorktown in Yorktown, Indiana","Cliff Barker","Shooting Guard","Shooting","Right","1921","01","15",182.88,60.96,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Mengke Bateer","Center","Center","Right","1975","11","20",182.88,335.28,130.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Esteban Batista","Power Forward","Power","Left","1983","09","02",182.88,304.8,121.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Nicolas Batum","Small Forward and Shooting Guard","Small","Right","1988","12","14",182.88,243.84,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Sergei Bazarevich","Point Guard","Point","Right","1965","03","16",182.88,60.96,75.6
"Male in Louisville, Kentucky","Ralph Beard","Guard","Guard","Right","1927","12","02",152.4,304.8,78.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Rodrigue Beaubois","Point Guard","Point","Right","1988","02","24",182.88,0,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Marco Belinelli","Shooting Guard and Small Forward","Shooting","Right","1986","03","25",182.88,152.4,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Dragan Bender","Power Forward","Power","Right","1997","11","17",213.36,30.48,101.25
"Picayune Memorial in Picayune, Mississippi","Jonathan Bender","Small Forward","Small","Right","1981","01","30",182.88,335.28,90.9
"Male in Louisville, Kentucky","Winston Bennett","Small Forward","Small","Right","1965","02","09",182.88,213.36,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Dairis Bertans","Shooting Guard","Shooting","Right","1989","09","09",182.88,121.92,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Davis Bertans","Power Forward","Power","Right","1992","11","12",182.88,304.8,101.25
"Valters Basketball School in Riga, Latvia","Andris Biedrins","Center","Center","Left","1986","04","02",182.88,335.28,108
"Corbin in Corbin, Kentucky","Jerry Bird","Forward","Forward","Right","1935","02","02",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Bismack Biyombo","Center","Center","Right","1992","08","28",182.88,274.32,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Nemanja Bjelica","Power Forward","Power","Right","1988","05","09",182.88,304.8,105.3
"South Kent School in South Kent, Connecticut","Andray Blatche","Center and Power Forward","Center","Right","1986","08","22",182.88,335.28,105.75
"A.H. Parker in Birmingham, Alabama","Eric Bledsoe","Point Guard","Point","Right","1989","12","09",182.88,30.48,92.25
"DeMatha Catholic in Hyattsville, Maryland","Keith Bogans","Small Forward and Shooting Guard","Small","Right","1980","05","12",182.88,152.4,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Bogdan Bogdanovic","Shooting Guard","Shooting","Right","1992","08","18",182.88,182.88,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Bojan Bogdanovic","Small Forward","Small","Right","1989","04","18",182.88,243.84,97.2
"Oak Hill Academy in Mouth of Wilson, Virginia","Isaac Bonga","Point Guard","Point","Right","1999","11","08",182.88,243.84,81
"Moss Point in Moss Point, Mississippi","Devin Booker","Shooting Guard","Shooting","Right","1996","10","30",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Lazaro Borrell","Small Forward","Small","Right","1972","09","20",182.88,243.84,99
"Lebanon in Lebanon, Pennsylvania","Sam Bowie","Center","Center","Right","1961","03","17",213.36,30.48,105.75
"Central in Louisville, Kentucky","Bill Bradley","Shooting Guard","Shooting","Right","1941","06","16",152.4,335.28,74.25
"Redcliffe in Redcliffe, Australia","Mark Bradtke","Center","Center","Right","1968","09","27",182.88,304.8,119.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Primoz Brezec","Center","Center","Right","1979","10","02",213.36,60.96,113.4
"Roselle Catholic in Roselle, New Jersey","Isaiah Briscoe","Point Guard","Point","Right","1996","04","13",182.88,91.44,96.75
"Glynn Academy in Brunswick, Georgia","Kwame Brown","Center and Power Forward","Center","Right","1982","03","10",182.88,335.28,121.5
"South Philadelphia in Philadelphia, Pennsylvania","Stan Brown","Forward","Forward","Right","1929","06","27",182.88,91.44,90
"Tilden in Chicago, Illinois","Jim Browne","Center","Center","Right","1930","01","01",182.88,304.8,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Nicolas Brussino","Small Forward and Shooting Guard","Small","Right","1993","03","02",182.88,213.36,87.75
"Lower Merion in Ardmore, Pennsylvania","Kobe Bryant","Shooting Guard and Small Forward","Shooting","Right","1978","08","23",182.88,182.88,95.4
"Wells in Wells, Texas","Bob Burrow","Center","Center","Right","1934","06","29",182.88,213.36,102.6
"Coastal Christian Academy in Virginia Beach, Virginia","Jackie Butler","Center","Center","Right","1985","03","10",182.88,304.8,112.5
"St. Joseph in Metuchen, New Jersey","Andrew Bynum","Center","Center","Right","1987","10","27",213.36,0,128.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Zarko Cabarkapa","Power Forward","Power","Right","1981","05","21",182.88,335.28,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Bruno Caboclo","Small Forward","Small","Right","1995","09","21",182.88,274.32,98.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Jose Calderon","Shooting Guard and Point Guard","Shooting","Right","1981","09","28",182.88,91.44,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Clint Capela","Center","Center","Right","1994","05","18",182.88,304.8,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Omri Casspi","Small Forward and Power Forward","Small","Right","1988","06","22",182.88,274.32,101.25
"Olathe Northwest in Olathe, Kansas","Willie Cauley-Stein","Center","Center","Right","1993","08","18",213.36,0,108
"East in Buffalo, New York","Al Cervi","Point Guard","Point","Right","1917","02","12",152.4,335.28,76.5
"Dominguez in Compton, California","Tyson Chandler","Center and Power Forward","Center","Right","1982","10","02",213.36,30.48,108
"Apollo in Owensboro, Kentucky","Rex Chapman","Shooting Guard and Point Guard","Shooting","Right","1967","10","05",182.88,121.92,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Victor Claver","Small Forward","Small","Right","1988","08","30",182.88,274.32,100.8
"Corbin in Corbin, Kentucky","Bob Cluggish","Center","Center","Right","1917","09","18",182.88,304.8,105.75
"Ashland in Ashland, Kentucky","Larry Conley","Shooting Guard","Shooting","Right","1944","01","22",182.88,91.44,78.75
"Anderson County in Lawrenceburg, Kentucky","Jimmy Conner","Shooting Guard","Shooting","Right","1953","03","20",182.88,121.92,85.5
"LeFlore Magnet in Mobile, Alabama","DeMarcus Cousins","Center","Center","Right","1990","08","13",182.88,335.28,121.5
"Hazard in Hazard, Kentucky","Johnny Cox","Shooting Guard","Shooting","Right","1936","11","01",182.88,121.92,81
"Renaissance in Detroit, Michigan","Joe Crawford","Small Forward","Small","Right","1986","06","17",182.88,152.4,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Mitch Creek","Small Forward","Small","Right","1992","04","27",182.88,152.4,97.2
"Cacak in Cacak, Serbia","Radisav Curcic","Center","Center","Right","1965","09","26",182.88,304.8,123.75
"Thornwood in South Holland, Illinois","Eddy Curry","Power Forward and Center","Power","Right","1982","12","05",213.36,0,132.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Rastko Cvetkovic","Center","Center","Right","1970","06","22",213.36,30.48,117
